"Latitude","Longitude","Altitude"
"55.7488396","48.7440644","203.40000915527"
"55.7488396","48.7440644","203.40000915527"
"55.7488396","48.7440644","203.40000915527"
"55.7488396","48.7440644","203.40000915527"
"55.7488396","48.7440644","203.40000915527"
"55.7488396","48.7440644","203.40000915527"
"55.7488396","48.7440644","203.40000915527"
"55.7488396","48.7440644","203.40000915527"
"55.7488396","48.7440644","203.40000915527"
"55.7488396","48.7440644","203.40000915527"
"55.7489489","48.7440174","203.40000915527"
"55.7489489","48.7440174","203.40000915527"
"55.7489489","48.7440174","203.40000915527"
"55.7489489","48.7440174","203.40000915527"
"55.7489489","48.7440174","203.40000915527"
"55.7489489","48.7440174","203.40000915527"
"55.7489489","48.7440174","203.40000915527"
"55.7489489","48.7440174","203.40000915527"
"55.7489489","48.7440174","203.40000915527"
"55.7489489","48.7440174","203.40000915527"
"55.7490046","48.7440507","0"
"55.7490046","48.7440507","0"
"55.7490046","48.7440507","0"
"55.7490046","48.7440507","0"
"55.7490046","48.7440507","0"
"55.7490046","48.7440507","0"
"55.7490046","48.7440507","0"
"55.7490046","48.7440507","0"
"55.7490046","48.7440507","0"
"55.7490046","48.7440507","0"
"55.7490279","48.7441231","0"
"55.7490279","48.7441231","0"
"55.7490279","48.7441231","0"
"55.7490279","48.7441231","0"
"55.7490279","48.7441231","0"
"55.7490279","48.7441231","0"
"55.7490279","48.7441231","0"
"55.7490279","48.7441231","0"
"55.7490279","48.7441231","0"
"55.7490279","48.7441231","0"
"55.7490675","48.7442449","0"
"55.7490675","48.7442449","0"
"55.7490675","48.7442449","0"
"55.7490675","48.7442449","0"
"55.7490675","48.7442449","0"
"55.7490675","48.7442449","0"
"55.7490675","48.7442449","0"
"55.7490675","48.7442449","0"
"55.7490675","48.7442449","0"
"55.7490675","48.7442449","0"
"55.7491626","48.7443336","209.40000915527"
"55.7491626","48.7443336","209.40000915527"
"55.7491626","48.7443336","209.40000915527"
"55.7491626","48.7443336","209.40000915527"
"55.7491626","48.7443336","209.40000915527"
"55.7491626","48.7443336","209.40000915527"
"55.7491626","48.7443336","209.40000915527"
"55.7491626","48.7443336","209.40000915527"
"55.7491626","48.7443336","209.40000915527"
"55.7491626","48.7443336","209.40000915527"
"55.7492579","48.7444618","210.60000610352"
"55.7492579","48.7444618","210.60000610352"
"55.7492579","48.7444618","210.60000610352"
"55.7492579","48.7444618","210.60000610352"
"55.7492579","48.7444618","210.60000610352"
"55.7492579","48.7444618","210.60000610352"
"55.7492579","48.7444618","210.60000610352"
"55.7492579","48.7444618","210.60000610352"
"55.7492579","48.7444618","210.60000610352"
"55.7492579","48.7444618","210.60000610352"
"55.7493612","48.7446207","210.60000610352"
"55.7493612","48.7446207","210.60000610352"
"55.7493612","48.7446207","210.60000610352"
"55.7493612","48.7446207","210.60000610352"
"55.7493612","48.7446207","210.60000610352"
"55.7493612","48.7446207","210.60000610352"
"55.7493612","48.7446207","210.60000610352"
"55.7493612","48.7446207","210.60000610352"
"55.7493612","48.7446207","210.60000610352"
"55.7493612","48.7446207","210.60000610352"
"55.7494891","48.7448697","212.20001220703"
"55.7494891","48.7448697","212.20001220703"
"55.7494891","48.7448697","212.20001220703"
"55.7494891","48.7448697","212.20001220703"
"55.7494891","48.7448697","212.20001220703"
"55.7494891","48.7448697","212.20001220703"
"55.7494891","48.7448697","212.20001220703"
"55.7494891","48.7448697","212.20001220703"
"55.7494891","48.7448697","212.20001220703"
"55.7494891","48.7448697","212.20001220703"
"55.7494891","48.7448697","212.20001220703"
"55.7495932","48.7451429","212.20001220703"
"55.7495932","48.7451429","212.20001220703"
"55.7495932","48.7451429","212.20001220703"
"55.7495932","48.7451429","212.20001220703"
"55.7495932","48.7451429","212.20001220703"
"55.7495932","48.7451429","212.20001220703"
"55.7495932","48.7451429","212.20001220703"
"55.7495932","48.7451429","212.20001220703"
"55.7495932","48.7451429","212.20001220703"
"55.7495932","48.7451429","212.20001220703"
"55.7497495","48.74528","212.20001220703"
"55.7497495","48.74528","212.20001220703"
"55.7497495","48.74528","212.20001220703"
"55.7497495","48.74528","212.20001220703"
"55.7497495","48.74528","212.20001220703"
"55.7497495","48.74528","212.20001220703"
"55.7497495","48.74528","212.20001220703"
"55.7497495","48.74528","212.20001220703"
"55.7497495","48.74528","212.20001220703"
"55.7497495","48.74528","212.20001220703"
